Title	URL	Assignees	Status	Estimated size	Real size	Labels
Pass Skill Constraint Data to Optimization Logic	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/160	SUFelix	Awaiting Review	3		backend
Implement Multiple Workers  to One vehicle Logic in Solver	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/197	SUFelix	Awaiting Review	3		backend
Implementing UI Changes for Multiple Depots	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/196	jkleinau	Awaiting Review	5		frontend
Write Script for Dummy Test Data Creation	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/150	SUFelix	Feature Archive	5	5	backend
Add Route Metrics To  Data Structure : Backend	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/178	fahimu10	Feature Archive	3	3	backend
Calculate Waiting Time in Post Processing	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/156	fahimu10	Feature Archive	5	5	backend
Create Company Info Configuration page	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/174	jkleinau	Feature Archive	8	8	frontend
Add Colored  Start Address Pin and End Address Pin on the optimised routes	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/170	jkleinau	Feature Archive	3	3	frontend
Add Button to Daily Plan and Worker Plan from Map View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/158	SK-Subroto	Feature Archive	2	2	frontend
Separate Pages for daily Plan View and Individual Plan View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/176	fariarahman15	Feature Archive	8	8	frontend
Figure Starting Time Interval for the Routes 	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/154	SUFelix	Feature Archive	3	2	backend
(Frontend): Support Route Metrics in Client Data Model	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/179	fariarahman15	Feature Archive	2	2	frontend
Add Month Support to Calendar View	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/157	SK-Subroto	Feature Archive	5	8	frontend
Implement Frontend Visualization for Information Raised in Preprocessing	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/126	fariarahman15, SK-Subroto	Feature Archive	5	5	
Update Project Documentation (Ongoing)	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/81	fahimu10, SK-Subroto	Feature Archive	3	5	
Integrate Solver API Output to Frontend for Route Visualization	https://github.com/amosproj/amos2025ss03-route-planning-app/issues/130	jkleinau	Feature Archive	8	8	
